Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,NormFlow_IAT_Mean,NormFwd_IAT_Mean,NormFlow_IAT_Std,NormBwd_IAT_Mean
0.000000,0.028050,0.000000,0.000000,0,0.000000,174.000000,dns,1.160000,0.000000,0.000000,0.039859,0.000000,0.000000,0.000000
0.000000,2.007979,0.144957,2.007979,0,0.000000,36.000000,dns,0.240000,0.000000,0.000000,2.853312,0.952656,0.000120,0.000000
0.000000,0.000280,0.000000,0.000000,0,0.000000,59.000000,dns,0.393333,0.000000,0.000000,0.000398,0.000000,0.000000,0.000000
0.000000,2.007869,0.211425,2.007869,0,0.000000,36.000000,dns,0.240000,0.000000,0.000000,2.853157,0.952604,0.000175,0.000000
0.000000,0.273000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.387930,0.000000,0.000000,0.000000
0.000000,0.104000,0.114591,0.065000,14,0.014000,134.200000,dns,0.894667,0.000000,0.000000,0.147783,0.030838,0.000095,0.000007
0.000000,0.000106,0.133031,0.037000,21,0.021000,147.400000,dns,0.982667,0.000000,0.000000,0.000150,0.017554,0.000110,0.000010
0.000000,0.095000,0.113459,0.031000,28,0.028000,147.400000,dns,0.982667,0.000000,0.000000,0.134994,0.014707,0.000094,0.000013
0.000000,0.008396,14.303213,0.058000,24912,24.912000,133.600000,dns,0.890667,0.000000,0.000021,0.011931,0.027517,0.011806,0.011860
0.000000,0.008358,14.211602,0.045000,24768,24.768000,133.600000,dns,0.890667,0.000000,0.000021,0.011877,0.021350,0.011730,0.011792
0.000000,23.597000,0.000000,0.000000,0,0.000000,167.333333,dns,1.115556,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,28.807000,0.000000,0.000000,0,0.000000,147.000000,dns,0.980000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.000229,0.071898,0.538000,400,0.000400,133.600000,dns,0.890667,0.000000,0.000000,0.000325,0.255246,0.000059,0.000000
0.000000,2.449155,2516.850114,4.989010,134703235,4.989009,54.350877,dns,0.362339,0.000000,0.112272,3.480219,2.366962,2.077422,0.002375
0.000000,0.000098,0.110726,0.044000,24,0.024000,147.400000,dns,0.982667,0.000000,0.000000,0.000139,0.020875,0.000091,0.000011
0.000000,0.113000,0.147713,0.000040,16,0.016000,147.400000,dns,0.982667,0.000000,0.000000,0.160572,0.000019,0.000122,0.000008
0.000000,0.007872,13.355626,0.063000,23293,23.293000,147.400000,dns,0.982667,0.000000,0.000019,0.011186,0.029889,0.011024,0.011089
0.000000,0.121000,0.075717,0.085000,70,0.000070,147.400000,dns,0.982667,0.000000,0.000000,0.171939,0.040327,0.000062,0.000000
0.000000,0.264000,0.000000,0.000000,0,0.000000,123.333333,dns,0.822222,0.000000,0.000000,0.375141,0.000000,0.000000,0.000000
0.000000,0.008481,14.469207,0.045000,25188,25.188000,147.400000,dns,0.982667,0.000000,0.000021,0.012051,0.021350,0.011943,0.011991
0.000000,0.352350,0.000000,0.000000,0,0.000000,189.000000,dns,1.260000,0.000000,0.000000,0.500685,0.000000,0.000000,0.000000
0.000000,0.074449,128.712479,0.047000,223073,223.073000,134.200000,dns,0.894667,0.000000,0.000186,0.105791,0.022298,0.106240,0.106200
0.000000,1.778000,0.000000,0.000000,0,0.000000,126.000000,dns,0.840000,0.000000,0.000000,2.526515,0.000000,0.000000,0.000000
0.000000,0.000103,0.129168,0.042000,15,0.015000,133.600000,dns,0.890667,0.000000,0.000000,0.000146,0.019926,0.000107,0.000007
0.000000,2.007929,0.091217,2.007929,0,0.000000,36.000000,dns,0.240000,0.000000,0.000000,2.853242,0.952632,0.000075,0.000000
0.000000,0.000115,0.123557,0.045000,43,0.043000,147.400000,dns,0.982667,0.000000,0.000000,0.000164,0.021350,0.000102,0.000020
0.000000,0.000130,0.099202,0.045000,106,0.106000,147.400000,dns,0.982667,0.000000,0.000000,0.000185,0.021350,0.000082,0.000050
0.000000,0.000410,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.000583,0.000000,0.000000,0.000000
0.000000,140.785000,0.000000,0.000000,0,0.000000,140.333333,dns,0.935556,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.095000,0.117013,0.043000,13,0.013000,147.400000,dns,0.982667,0.000000,0.000000,0.134994,0.020401,0.000097,0.000006
0.000000,0.000122,0.082051,0.038000,125,0.125000,147.400000,dns,0.982667,0.000000,0.000000,0.000173,0.018029,0.000068,0.000060
0.000000,0.225000,0.000000,0.000000,0,0.000000,71.000000,dns,0.473333,0.000000,0.000000,0.319722,0.000000,0.000000,0.000000
0.000000,0.183000,0.098015,0.245000,70,0.000070,145.800000,dns,0.972000,0.000000,0.000000,0.260041,0.116237,0.000081,0.000000
0.000000,168.124000,0.000000,0.000000,0,0.000000,82.000000,dns,0.546667,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.008473,14.422007,0.043000,25126,25.126000,147.400000,dns,0.982667,0.000000,0.000021,0.012040,0.020401,0.011904,0.011962
0.000000,28.175000,0.000000,0.000000,0,0.000000,156.333333,dns,1.042222,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.301000,0.000000,0.000000,0,0.000000,135.333333,dns,0.902222,0.000000,0.000000,0.427717,0.000000,0.000000,0.000000
0.000000,0.307000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.436243,0.000000,0.000000,0.000000
0.000000,0.101000,0.088612,0.089000,19,0.019000,145.800000,dns,0.972000,0.000000,0.000000,0.143520,0.042225,0.000073,0.000009
0.000000,0.284000,0.131412,0.705000,556,0.556000,145.800000,dns,0.972000,0.000000,0.000000,0.403560,0.334477,0.000108,0.000265
0.000000,50.307000,0.000000,0.000000,0,0.000000,150.333333,dns,1.002222,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,29.632000,0.000000,0.000000,0,0.000000,151.000000,dns,1.006667,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.000070,0.064454,0.044000,22,0.022000,147.400000,dns,0.982667,0.000000,0.000000,0.000099,0.020875,0.000053,0.000010
0.000000,0.217190,0.000000,0.000000,0,0.000000,147.000000,dns,0.980000,0.000000,0.000000,0.308624,0.000000,0.000000,0.000000
