Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label
0.000000,0.235000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.259000,0.000000,0.000000,0,0.000000,204.333333,dns
0.000000,0.207000,0.000000,0.000000,0,0.000000,132.333333,dns
0.000000,0.232000,0.000000,0.000000,0,0.000000,136.333333,dns
0.000000,0.843000,0.000000,0.000000,0,0.000000,171.000000,dns
0.000000,8.314000,0.000000,0.000000,0,0.000000,200.000000,dns
0.000000,0.173000,0.000000,0.000000,0,0.000000,123.333333,dns
0.000000,17.781000,0.000000,0.000000,0,0.000000,204.333333,dns
0.000000,0.293000,0.000000,0.000000,0,0.000000,135.000000,dns
0.000000,0.271000,0.000000,0.000000,0,0.000000,121.000000,dns
0.000000,33.557000,0.000000,0.000000,0,0.000000,153.000000,dns
0.000000,0.221000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.264000,0.000000,0.000000,0,0.000000,122.666667,dns
0.000000,24.522000,0.000000,0.000000,0,0.000000,161.666667,dns
0.000000,0.222000,0.000000,0.000000,0,0.000000,127.333333,dns
0.000000,0.000150,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.013636,5.977174,17.863000,0,0.000000,144.000000,dns
0.000000,0.236000,0.000000,0.000000,0,0.000000,136.333333,dns
0.000000,0.219000,0.000000,0.000000,0,0.000000,129.333333,dns
0.000000,28.316000,0.000000,0.000000,0,0.000000,169.333333,dns
0.000000,169.994000,0.000000,0.000000,0,0.000000,183.000000,dns
0.000000,1.809000,0.000000,0.000000,0,0.000000,134.333333,dns
0.000000,0.334000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.248000,0.000000,0.000000,0,0.000000,131.666667,dns
0.000000,0.234000,0.000000,0.000000,0,0.000000,135.333333,dns
0.000000,29.119000,0.000000,0.000000,0,0.000000,129.000000,dns
0.000000,1.468000,0.000000,0.000000,0,0.000000,163.000000,dns
0.000000,0.222000,0.000000,0.000000,0,0.000000,132.333333,dns
0.000000,0.285000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,7.173000,0.000000,0.000000,0,0.000000,201.666667,dns
0.000000,25.641000,0.000000,0.000000,0,0.000000,108.333333,dns
0.000000,334.342000,0.000000,0.000000,0,0.000000,169.666667,dns
0.000000,1.180813,1175.978681,2012.356000,0,0.000000,160.000000,dns
0.000000,0.459397,472.473802,0.473780,0,0.000000,117.800000,dns
0.000000,0.393000,0.000000,0.000000,0,0.000000,136.333333,dns
0.000000,2857.149000,0.000000,2857.149000,0,0.000000,6.000000,dns
8.485281,0.030951,34.662180,68.873000,92550,0.092550,142.400000,dns
0.000000,128.955000,0.000000,0.000000,0,0.000000,96.000000,dns
0.000000,9.829000,0.000000,0.000000,0,0.000000,197.333333,dns
0.000000,61.521000,0.000000,0.000000,0,0.000000,140.333333,dns
0.000000,8.701000,0.000000,0.000000,0,0.000000,194.000000,dns
0.000000,0.244000,0.000000,0.000000,0,0.000000,132.333333,dns
0.000000,8.516000,0.000000,0.000000,0,0.000000,199.666667,dns
0.000000,1.673000,0.000000,0.000000,0,0.000000,170.666667,dns
0.000000,0.245000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.351172,562.240588,0.877848,1615558,807.779000,162.285714,dns
0.000000,1.594000,0.000000,0.000000,0,0.000000,182.666667,dns
0.000000,138.481000,0.000000,0.000000,0,0.000000,37.333333,dns
0.000000,0.285000,0.000000,0.000000,0,0.000000,121.000000,dns
0.000000,73.463000,0.000000,0.000000,0,0.000000,157.666667,dns
0.000000,6.287000,0.000000,0.000000,0,0.000000,199.333333,dns
